n_vertices,n_edges,total_time_before,total_time_after,improvement,improvement_percentage,n_layers,avg_time,max_time,min_time,time_range,graph_type,time_range_label
5,5,13.006,7.519,5.487,42.18822082115947,5,2.4012000000000002,2.978,1.912,1.0660000000000003,Cyclic,1-5
5,10,30.995000000000005,16.018,14.977000000000004,48.32069688659462,10,2.9995000000000003,4.986,1.912,3.074,Complete,1-5
5,5,13.968,8.019,5.949,42.590206185567006,5,2.5936,3.703,1.179,2.524,Cyclic,1-5
5,10,29.259,15.189,14.07,48.08776786629755,10,2.8259,4.797,1.179,3.6179999999999994,Complete,1-5
5,5,31.881,18.329,13.552,42.50807691101283,5,6.1762,9.77,2.021,7.749,Cyclic,1-10
5,10,62.192,31.676,30.516000000000002,49.06740416773862,10,6.1192,9.77,2.021,7.749,Complete,1-10
5,5,26.564,13.976,12.588,47.38744165035386,5,5.1128,9.024,1.157,7.866999999999999,Cyclic,1-10
5,10,54.443,29.114,25.328999999999997,46.523887368440384,10,5.3443,9.024,1.157,7.866999999999999,Complete,1-10
5,5,33.443,19.361,14.081999999999997,42.10746643542744,5,6.4886,9.337,3.224,6.1129999999999995,Cyclic,1-10
5,10,65.356,33.415,31.940999999999995,48.87233000795642,10,6.435599999999999,9.337,2.894,6.443,Complete,1-10
5,5,21.766,11.919,9.846999999999998,45.24028301019939,5,4.1532,5.451,3.053,2.3979999999999997,Cyclic,1-10
5,10,55.991,28.543,27.448,49.02216427640156,10,5.4991,9.969,3.053,6.9159999999999995,Complete,1-10
5,5,23.928,13.042,10.886000000000001,45.49481778669342,5,4.5856,7.082,1.402,5.68,Cyclic,1-10
5,10,52.083,26.676,25.407,48.781752203214104,10,5.1083,9.544,1.402,8.142000000000001,Complete,1-10
5,5,54.758,28.032,26.726000000000003,48.80748018554367,5,10.7516,14.745,6.135,8.61,Cyclic,5-15
5,10,107.882,54.531,53.351000000000006,49.45310617155781,10,10.6882,14.745,6.135,8.61,Complete,5-15
5,5,48.85,27.085,21.765,44.554759467758444,5,9.57,13.916,5.175,8.741,Cyclic,5-15
5,10,99.271,50.335,48.936,49.29536319771132,10,9.8271,13.916,5.175,8.741,Complete,5-15
5,5,56.492999999999995,29.179,27.313999999999997,48.349353017187966,5,11.0986,14.263,7.471,6.792,Cyclic,5-15
5,10,111.396,56.493,54.903,49.28632985026392,10,11.0396,14.263,7.104,7.159,Complete,5-15
5,5,43.518,24.799,18.719,43.01438485224505,5,8.5036,9.946,7.281,2.665,Cyclic,5-15
5,10,100.99,51.048,49.94199999999999,49.45242103178532,10,9.998999999999999,14.966,7.281,7.685,Complete,5-15
5,5,45.919,26.046,19.872999999999998,43.278381497854916,5,8.983799999999999,11.757,5.447,6.31,Cyclic,5-15
5,10,96.647,48.972,47.675000000000004,49.329001417529774,10,9.5647,14.493,5.447,9.046,Complete,5-15
6,6,17.436999999999998,7.705,9.731999999999998,55.81235304238113,6,2.7394999999999996,4.566,1.07,3.4959999999999996,Cyclic,1-5
6,15,42.87299999999999,16.735,26.13799999999999,60.96610920626034,15,2.7915333333333328,4.566,1.07,3.4959999999999996,Complete,1-5
6,6,21.464000000000002,10.271,11.193000000000001,52.14778233320909,6,3.410666666666667,4.705,1.988,2.717,Cyclic,1-5
6,15,53.397999999999996,20.589,32.809,61.442376118955764,15,3.4932,4.705,1.842,2.863,Complete,1-5
6,6,17.992,8.964,9.028,50.177856825255674,6,2.8320000000000003,4.986,1.912,3.074,Cyclic,1-5
6,15,46.89800000000001,19.727,27.17100000000001,57.93637255320058,15,3.059866666666667,4.986,1.582,3.404,Complete,1-5
6,6,18.765,9.5,9.265,49.3738342659206,6,2.9608333333333334,4.797,1.179,3.6179999999999994,Cyclic,1-5
6,15,41.056000000000004,17.043,24.013000000000005,58.488406079501175,15,2.6704000000000003,4.797,1.179,3.6179999999999994,Complete,1-5
6,6,16.587000000000003,8.773,7.814000000000004,47.1091818894315,6,2.5978333333333334,4.292,1.104,3.1879999999999997,Cyclic,1-5
6,15,49.06400000000001,20.998,28.066000000000006,57.202837110712544,15,3.2042666666666673,4.922,1.104,3.8179999999999996,Complete,1-5
6,6,30.484,13.588,16.896,55.425797139483,6,4.914000000000001,9.024,1.157,7.866999999999999,Cyclic,1-10
6,15,76.465,30.154,46.31100000000001,60.56496436278036,15,5.031000000000001,9.024,1.157,7.866999999999999,Complete,1-10
6,6,39.545,19.361,20.184,51.04058667341004,6,6.424166666666667,9.337,3.224,6.1129999999999995,Cyclic,1-10
6,15,100.145,38.825,61.31999999999999,61.23121473862898,15,6.609666666666667,9.337,2.894,6.443,Complete,1-10
6,6,31.735,16.42,15.314999999999998,48.25902000945328,6,5.1225,9.969,3.053,6.9159999999999995,Cyclic,1-10
6,15,85.52199999999999,36.886,48.63599999999999,56.86957741867589,15,5.634799999999999,9.969,2.309,7.659999999999999,Complete,1-10
6,6,33.472,17.626,15.846,47.34106118546845,6,5.412,9.544,1.402,8.142000000000001,Cyclic,1-10
6,15,72.37700000000001,30.847,41.53000000000001,57.38010694005003,15,4.758466666666667,9.544,1.402,8.142000000000001,Complete,1-10
6,6,28.572,15.989,12.582999999999998,44.03961920761584,6,4.5953333333333335,8.408,1.235,7.172999999999999,Cyclic,1-10
6,15,90.392,39.745,50.647,56.03040092043544,15,5.959466666666667,9.824,1.235,8.589,Complete,1-10
6,6,57.095,22.765,34.33,60.12785708030476,6,9.349166666666667,13.916,5.175,8.741,Cyclic,5-15
6,15,143.184,53.38,89.804,62.71929824561404,15,9.478933333333334,13.916,5.175,8.741,Complete,5-15
6,6,67.16199999999999,29.179,37.98299999999999,56.55430153956106,6,11.027,14.263,7.471,6.792,Cyclic,5-15
6,15,169.495,62.473,107.022,63.141685595445296,15,11.233,14.263,7.104,7.159,Complete,5-15
6,6,58.484,25.912,32.572,55.69386498871487,6,9.580666666666668,14.966,7.281,7.685,Cyclic,5-15
6,15,153.247,60.318,92.92900000000002,60.640012528793385,15,10.1498,14.966,6.455,8.511,Complete,5-15
6,6,60.412,27.25,33.162,54.893067602463084,6,9.902,14.493,5.447,9.046,Cyclic,5-15
6,15,138.639,53.607,85.03200000000001,61.33339103715405,15,9.175933333333335,14.493,5.447,9.046,Complete,5-15
6,6,54.967999999999996,25.432,29.535999999999998,53.73308106534711,6,8.994666666666665,13.231,5.261,7.97,Cyclic,5-15
6,15,158.658,63.495,95.16299999999998,59.97995688840147,15,10.510533333333333,14.804,5.261,9.543,Complete,5-15
